fact_key,document_name,entity_label,metric_hint,metric_label,role,basis,value,value_low,value_high,value_text,original_value,unit,currency,scale,is_estimate,period_label,period_type,period_end,line_start,line_end,char_start,char_end,source_line
m:ABX:market_cap:asof,mining-excerpt.md,ABX,market_cap,Mkt Cap (USD),actual,,70000000000.0,,,,~$70B,money,USD,1000000000.0,true,,point,2026-09-17,18,18,2020,2025,39
m:ABX:revenue:comp,mining-excerpt.md,ABX,revenue,Revenue,actual,,5292000000.0,,,,"$5,292M",money,,1000000.0,false,Q2 2026,calendar,,18,18,2043,2050,39
m:ABX:revenue_yoy:comp,mining-excerpt.md,ABX,revenue_yoy,Rev YoY%,actual,,44,,,,+44%,pct,,1.0,false,Q2 2026,calendar,,18,18,2053,2057,39
m:AEM:market_cap:asof,mining-excerpt.md,AEM,market_cap,Mkt Cap (USD),actual,,102000000000.0,,,,~$102B,money,USD,1000000000.0,true,,point,2026-09-17,19,19,2134,2140,40
m:AEM:revenue:comp,mining-excerpt.md,AEM,revenue,Revenue,actual,,3803000000.0,,,,"$3,803M",money,,1000000.0,false,Q2 2026,calendar,,19,19,2158,2165,40
m:AEM:revenue_yoy:comp,mining-excerpt.md,AEM,revenue_yoy,Rev YoY%,actual,,35,,,,+35%,pct,,1.0,false,Q2 2026,calendar,,19,19,2168,2172,40
m:TECK.B:market_cap:asof,mining-excerpt.md,TECK.B,market_cap,Mkt Cap (USD),actual,,32000000000.0,,,,~$32B,money,USD,1000000000.0,true,,point,2026-09-17,20,20,2231,2236,41
m:TECK.B:revenue:comp,mining-excerpt.md,TECK.B,revenue,Revenue,actual,,3605000000.0,,,,"C$3,605M",money,CAD,1000000.0,false,Q2 2026,calendar,,20,20,2262,2270,41
m:TECK.B:revenue_yoy:comp,mining-excerpt.md,TECK.B,revenue_yoy,Rev YoY%,actual,,78,,,,+78%,pct,,1.0,false,Q2 2026,calendar,,20,20,2273,2277,41
m:FM:market_cap:asof,mining-excerpt.md,FM,market_cap,Mkt Cap (USD),actual,,30000000000.0,,,,~C$30B,money,CAD,1000000000.0,true,,point,2026-09-17,21,21,2357,2363,42
m:FM:revenue:comp,mining-excerpt.md,FM,revenue,Revenue,actual,,1522000000.0,,,,"$1,522M",money,,1000000.0,false,Q2 2026,calendar,,21,21,2380,2387,42
m:FM:revenue_yoy:comp,mining-excerpt.md,FM,revenue_yoy,Rev YoY%,actual,,24,,,,+24%,pct,,1.0,false,Q2 2026,calendar,,21,21,2390,2394,42
m:WPM:market_cap:asof,mining-excerpt.md,WPM,market_cap,Mkt Cap (USD),actual,,67000000000.0,,,,~$67B,money,USD,1000000000.0,true,,point,2026-09-17,22,22,2472,2477,43
m:WPM:revenue:comp,mining-excerpt.md,WPM,revenue,Revenue,actual,,929000000.0,,,,$929M,money,,1000000.0,false,Q2 2026,calendar,,22,22,2495,2500,43
m:WPM:revenue_yoy:comp,mining-excerpt.md,WPM,revenue_yoy,Rev YoY%,actual,,85,,,,+85%,pct,,1.0,false,Q2 2026,calendar,,22,22,2503,2507,43
m:IVN:market_cap:asof,mining-excerpt.md,IVN,market_cap,Mkt Cap (USD),actual,,17100000000.0,,,,C$17.1B,money,CAD,1000000000.0,false,,point,2026-09-17,23,23,2585,2592,44
m:IVN:revenue:comp,mining-excerpt.md,IVN,revenue,Revenue,actual,,153000000.0,,,,$153M,money,,1000000.0,false,Q2 2026,calendar,,23,23,2609,2614,44
m:IVN:revenue_yoy:comp,mining-excerpt.md,IVN,revenue_yoy,Rev YoY%,actual,,58,,,,+58%,pct,,1.0,false,Q2 2026,calendar,,23,23,2617,2621,44
m:IVN:eps:comp,mining-excerpt.md,IVN,eps,Latest Q EPS,actual,,0.03,,,,$0.03,money,,1.0,false,Q2 2026,calendar,,23,23,2595,2600,44
m:IVN:eps_yoy:comp,mining-excerpt.md,IVN,eps_yoy,EPS YoY%,actual,,,,,N/M,N/M,text,,1.0,false,Q2 2026,calendar,,23,23,2603,2606,44
